Pos|Titolo|Publisher|Anno|TitoloNorm|Link
226|Exalted|White Wolf Publishing|2001|exalted|http://index.rpg.net/display-entry.phtml?mainid=12179
227|Terra Incognita|Grey Ghost Press|2001|terra incognita|http://index.rpg.net/display-entry.phtml?mainid=331
230|El-Hazard|Guardians of Order|2001|el-hazard|http://index.rpg.net/display-entry.phtml?mainid=5686
231|De Profundis: Letters From the Abyss|Hogshead Publishing|2001|de profundis|http://index.rpg.net/display-entry.phtml?mainid=1535
240|FVLMINATA: Armed With Lightning|Thyrsus Games|2001|fvlminata|http://index.rpg.net/display-entry.phtml?mainid=741
264|HackMaster|Kenzer & Company|2001|hackmaster|http://index.rpg.net/display-entry.phtml?mainid=195
322|Pokéthulhu|Dork Storm Press|2001|pokéthulhu|http://index.rpg.net/display-entry.phtml?mainid=255
439|The Last Exodus|Synister Creative Systems|2001|last exodus|http://index.rpg.net/display-entry.phtml?mainid=3628
479|Gear Krieg|Dream Pod 9|2001|gear krieg|http://index.rpg.net/display-entry.phtml?mainid=4352
495|The Metabarons|D6 Legends / Yéti Entertainmane|2001|metabarons|http://index.rpg.net/display-entry.phtml?mainid=10377
505|Ironclaw: Anthropomorphic Fantasy Role-Playing|Sanguine Productions|2001|ironclaw|http://index.rpg.net/display-entry.phtml?mainid=149
526|After The Bomb|Palladium Books|2001|after the bomb|http://index.rpg.net/display-entry.phtml?mainid=1620
557|Heaven & Earth|Guardians of Order|2001|heaven & earth|http://index.rpg.net/display-entry.phtml?mainid=2824
594|Undiscovered: The Quest for Adventure|Eilfin Publishing|2001|undiscovered:|http://index.rpg.net/display-entry.phtml?mainid=16723
656|Ninja Burger: The Role-playing Game|9th Level Games|2001|ninja burger|http://index.rpg.net/display-entry.phtml?mainid=11127
658|Stuperpowers! Deluxe|Wingnut Games|2001|stuperpowers!|http://index.rpg.net/display-entry.phtml?mainid=1609
679|Rune|Atlas Games|2001|rune|http://index.rpg.net/display-entry.phtml?mainid=2412
699|Elfs|Adept Press|2001|elfs|http://index.rpg.net/display-entry.phtml?mainid=2409
707|Dinosaur Planet: Broncosaurus Rex|Goodman Games|2001|dinosaur planet|http://index.rpg.net/display-entry.phtml?mainid=6933
748|Supermegatopia The Roleplaying Game|Nightshift Games|2001|supermegatopia|http://index.rpg.net/display-entry.phtml?mainid=13686
801|The Wheel of Time Roleplaying Game|Wizards of the Coast|2001|wheel of time|http://index.rpg.net/display-entry.phtml?mainid=369
880|Mummyn|White Wolf Publishing|2001|mummy|http://index.rpg.net/display-entry.phtml?mainid=2149
949|The Legacy of Zorro|Gold Rush Games|2001|legacy of zorro|http://index.rpg.net/display-entry.phtml?mainid=336
985|Action!|Gold Rush Games|2001|action!|http://index.rpg.net/display-entry.phtml?mainid=1487
1104|Forging Darkness|Kenzer & Company|2001|forging darkness|http://index.rpg.net/display-entry.phtml?mainid=11544
1195|Four Colors al Fresco|The Impossible Dream|2001|four colors al fresco|http://index.rpg.net/display-entry.phtml?mainid=7271
1347|Umbragia: Realms of Shadow|Jagged Edge Games|2001|umbragia|http://index.rpg.net/display-entry.phtml?mainid=11044
1601|Urge|Heartburn Games|2001|urge|http://index.rpg.net/display-entry.phtml?mainid=13828
1851|LAZER: General Rules and Species|Geek|2001|lazer|http://index.rpg.net/display-entry.phtml?mainid=16762
1930|Pariah|Rogue Publishing|2001|pariah|http://index.rpg.net/display-entry.phtml?mainid=18853
2034|The Cheap & Cheesy Fantasy Game|Lumpley Games|2001|cheap & cheesy|http://index.rpg.net/display-entry.phtml?mainid=4533
2078|Forbidden Kingdoms|OtherWorld Creations|2001|forbidden kingdoms|http://index.rpg.net/display-entry.phtml?mainid=3579
2107|Vigilante|Steve Jackson Games|2001|vigilante|http://index.rpg.net/display-entry.phtml?mainid=13245
2122|Darkwood|Tower Games|2001|darkwood|http://index.rpg.net/display-entry.phtml?mainid=3578
1|Nobilis|Hogshead Publishing|2002|nobilis|http://index.rpg.net/display-entry.phtml?mainid=132
19|Buffy the Vampire Slayer Roleplaying Game|Eden Studios|2002|buffy|http://index.rpg.net/display-entry.phtml?mainid=85
21|Dread: The First Book of Pandemonium|Malignant Games|2002|dread|http://index.rpg.net/display-entry.phtml?mainid=7254
36|Silver Age Sentinels|Guardians of Order|2002|silver age sentinels|http://index.rpg.net/display-entry.phtml?mainid=738
57|InSpectres|Memento Mori Theatricks|2002|inspectres|http://index.rpg.net/display-entry.phtml?mainid=142
140|Trollbabe|Adept Press|2002|trollbabe|http://index.rpg.net/display-entry.phtml?mainid=1490
149|Hellboy Sourcebook and Roleplaying Game|Steve Jackson Games|2002|hellboy|http://index.rpg.net/display-entry.phtml?mainid=396
164|Demon: The Fallen|White Wolf Publishing|2002|demon|http://index.rpg.net/display-entry.phtml?mainid=199
166|EABA|BTRC|2002|eaba|http://index.rpg.net/display-entry.phtml?mainid=1654
194|Universalis|Ramshead Publishing|2002|universalis|http://index.rpg.net/display-entry.phtml?mainid=3762
198|octaNe|Memento Mori Theatricks|2002|octane|http://index.rpg.net/display-entry.phtml?mainid=1485
235|Mechanical Dream|SteamLogic|2002|mechanical dream|http://index.rpg.net/display-entry.phtml?mainid=4364
255|Red Dwarf|Deep7|2002|red dwarf|http://index.rpg.net/display-entry.phtml?mainid=1349
291|Dust Devils|Chimera Creative|2002|dust devils|http://index.rpg.net/display-entry.phtml?mainid=36
292|The Judge Dredd Roleplaying Game|Mongoose Publishing|2002|judge dredd|http://index.rpg.net/display-entry.phtml?mainid=3053
318|Jadeclaw: Anthropomorphic Fantasy Role-Playing|Sanguine Productions|2002|jadeclaw|http://index.rpg.net/display-entry.phtml?mainid=167
368|Paladin|CRN Games|2002|paladin|http://index.rpg.net/display-entry.phtml?mainid=5321
369|The Riddle of Steel|Driftwood Publishing|2002|riddle of steel|http://index.rpg.net/display-entry.phtml?mainid=3845
374|Sweet Chariot|Flying Mice|2002|sweet chariot|http://index.rpg.net/display-entry.phtml?mainid=2120
381|Random Anime|Infernal Funhouse Games|2002|random anime|http://index.rpg.net/display-entry.phtml?mainid=1687
394|Children of the Sun|Misguided Games|2002|children of the sun|http://index.rpg.net/display-entry.phtml?mainid=879
407|Spaceship Zero|Green Ronin Publishing|2002|spaceship zero|http://index.rpg.net/display-entry.phtml?mainid=3523
437|Donjon|Anvilwerks|2002|donjon|http://index.rpg.net/display-entry.phtml?mainid=5334
470|Monster Island: The Game of Giant Monster Combat|Firefly Games|2002|monster islandt|http://index.rpg.net/display-entry.phtml?mainid=5177
503|StarCluster|Flying Mice|2002|starcluster|http://index.rpg.net/display-entry.phtml?mainid=793
559|Starchildren: Velvet Generation|XIG Games|2002|starchildren|http://index.rpg.net/display-entry.phtml?mainid=363
569|Neverwhere|Postmortem Studios|2002|neverwhere|http://index.rpg.net/display-entry.phtml?mainid=5121
588|Legends Walk!|Silver Branch Games|2002|legends walk|http://index.rpg.net/display-entry.phtml?mainid=6673
608|Otherkind|Lumpley Games|2002|otherkind|http://index.rpg.net/display-entry.phtml?mainid=4569
609|Danger Quest|Torchlight Games|2002|danger quest|http://index.rpg.net/display-entry.phtml?mainid=3595
614|EverQuest|Sword & Sorcery|2002|everquest|http://index.rpg.net/display-entry.phtml?mainid=7298
622|Farscape Roleplaying Game|AEG|2002|farscape|http://index.rpg.net/display-entry.phtml?mainid=214
632|The Two Towers Roleplaying Adventure Game|Decipher|2002|two towers|http://index.rpg.net/display-entry.phtml?mainid=2630
677|Dark Ages: Inquisitor|White Wolf Publishing|2002|inquisitor|http://index.rpg.net/display-entry.phtml?mainid=8391
702|Engel|Sword & Sorcery|2002|engel|http://index.rpg.net/display-entry.phtml?mainid=1660
742|Swashbuckling Adventures|AEG|2002|swashbuckling|http://index.rpg.net/display-entry.phtml?mainid=15159
782|The Colonies|Politically Incorrect Games|2002|colonies|http://index.rpg.net/display-entry.phtml?mainid=4670
795|M-Force: Monster Hunting in the 21st Century|Hex Games|2002|m-force|http://index.rpg.net/display-entry.phtml?mainid=2601
796|Nicotine Girls|Half Meme Press|2002|nicotine girls|http://index.rpg.net/display-entry.phtml?mainid=4534
815|The Lord of the Rings Roleplaying Adventure Game|Decipher|2002|lord of the rings|http://index.rpg.net/display-entry.phtml?mainid=2629
816|Simply Roleplaying!|Microtactix|2002|simply roleplaying!|http://index.rpg.net/display-entry.phtml?mainid=19516
846|Digital Burn|Living Room Games|2002|digital burn|http://index.rpg.net/display-entry.phtml?mainid=1958
848|Shadows|HarlekinMaus|2002|shadows|http://index.rpg.net/display-entry.phtml?mainid=7768
873|Shades of Earth|HinterWelt Enterprises|2002|shades of earth|http://index.rpg.net/display-entry.phtml?mainid=480
885|HeartQuest: Romantic Roleplaying in the Worlds of Shoujo Manga|Seraphim Guard|2002|heartquest|http://index.rpg.net/display-entry.phtml?mainid=7848
968|James M. Ward's Metamorphosis Alpha Universe|Fast Forward Entertainment|2002|james m. ward's metamorphosis alpha universe|http://index.rpg.net/display-entry.phtml?mainid=4502
1166|Tales of Gaea|HinterWelt Enterprises|2002|tales of gaea|http://index.rpg.net/display-entry.phtml?mainid=520
1309|Dark Refuge|Games|2002|dark refuge|http://index.rpg.net/display-entry.phtml?mainid=3509
1369|Chain of Being: the Fantasy Roleplaying Game of Epic Absurdity|Limestone Publishing|2002|chain of being|http://index.rpg.net/display-entry.phtml?mainid=820
1380|I, Mordred: The Fall and Rise of Camelot|Avalanche Press|2002|i, mordred|http://index.rpg.net/display-entry.phtml?mainid=8328
1428|Operation: Perfect Blue|Cutter's Guild Games|2002|perfect blue|http://index.rpg.net/display-entry.phtml?mainid=3248
1437|Ember Twilight|Twilight Press|2002|ember twilight|http://index.rpg.net/display-entry.phtml?mainid=3152
1438|Tales of Wyn D'mere|Shield of Faith Studios|2002|tales of wyn d'mere|http://index.rpg.net/display-entry.phtml?mainid=1293
1867|Undiscovered|Eilfin Publishing|2002|undiscovered|http://index.rpg.net/display-entry.phtml?mainid=16861
1936|House of Horiku|Itesser Ink|2002|house of horiku|http://index.rpg.net/display-entry.phtml?mainid=19240
2048|Guardian Universe Core Fuzion|Dilly Green Bean Games|2002|guardian universe|http://index.rpg.net/display-entry.phtml?mainid=6618
2101|Dude Where's My Car - The Role-Playing Game|TCK Roleplaying|2002|dude where's my car|http://index.rpg.net/display-entry.phtml?mainid=19612
2108|Psibertroopers|Final Sword Productions|2002|psibertroopers|http://index.rpg.net/display-entry.phtml?mainid=6832
2148|FATAL|Fatal Games|2002|fatal|http://index.rpg.net/display-entry.phtml?mainid=3910
16|Angel Roleplaying Game|Eden Studios|2003|angel|http://index.rpg.net/display-entry.phtml?mainid=192
20|HeroQuest|Issaries|2003|heroquest|http://index.rpg.net/display-entry.phtml?mainid=833
29|All Flesh Must Be Eaten|Eden Studios|2003|all flesh must be eaten|http://index.rpg.net/display-entry.phtml?mainid=757
31|Jovian Chronicles|Dream Pod 9|2003|jovian chronicles|http://index.rpg.net/display-entry.phtml?mainid=221
100|Fate: Fantastic Adventures in Tabletop Entertainment|Evil Hat Productions|2003|fate|http://index.rpg.net/display-entry.phtml?mainid=2060
113|Cartoon Action Hour|ZMan Games|2003|cartoon action hour|http://index.rpg.net/display-entry.phtml?mainid=1686
114|Armageddon: The End Times|Eden Studios|2003|armageddon|http://index.rpg.net/display-entry.phtml?mainid=914
117|Monte Cook's Arcana Unearthed|Sword & Sorcery / Malhavoc Press|2003|arcana unearthed|http://index.rpg.net/display-entry.phtml?mainid=1148
157|Orpheus|White Wolf Publishing|2003|orpheus|http://index.rpg.net/display-entry.phtml?mainid=1890
207|My Life with Master|Half Meme Press|2003|my life with master|http://index.rpg.net/display-entry.phtml?mainid=141
233|Darwin's World|RPGObjects|2003|darwin's world|http://index.rpg.net/display-entry.phtml?mainid=1685
276|Fates Worse than Death|Vajra Enterprises|2003|fates worse than death|http://index.rpg.net/display-entry.phtml?mainid=6056
295|Terra Primate|Eden Studios|2003|terra primate|http://index.rpg.net/display-entry.phtml?mainid=4021
321|Two-Fisted Tales|Politically Incorrect Games|2003|two-fisted tales|http://index.rpg.net/display-entry.phtml?mainid=4668
336|Stargate SG-1 Roleplaying Game|AEG|2003|stargate|http://index.rpg.net/display-entry.phtml?mainid=447
346|Diana: Warrior Princess|Heliograph|2003|diana: warrior princess|http://index.rpg.net/display-entry.phtml?mainid=2144
388|kill puppies for satan|Lumpley Games|2003|kill puppies for satan|http://index.rpg.net/display-entry.phtml?mainid=11189
434|Tri-Stat dX|Guardians of Order|2003|tri-stat dx|http://index.rpg.net/display-entry.phtml?mainid=945
443|Victoriana|Heresy Gaming|2003|victoriana|http://index.rpg.net/display-entry.phtml?mainid=2254
532|Babylon 5: The Roleplaying Game|Mongoose Publishing|2003|babylon 5|http://index.rpg.net/display-entry.phtml?mainid=446
533|Unbidden|Politically Incorrect Games|2003|unbidden|http://index.rpg.net/display-entry.phtml?mainid=4669
612|Deliria|Laughing Pan Productions|2003|deliria|http://index.rpg.net/display-entry.phtml?mainid=1610
627|Virtual|Fantasy Flight Games|2003|virtual|http://index.rpg.net/display-entry.phtml?mainid=5368
675|OGL Cybernet|Mongoose Publishing|2003|ogl cybernet|http://index.rpg.net/display-entry.phtml?mainid=8071
681|Hero's Book|Issaries|2003|hero's book|http://index.rpg.net/display-entry.phtml?mainid=5
683|Wushu Open|Bayn.org|2003|wushu open|http://index.rpg.net/display-entry.phtml?mainid=3084
688|Divus Ex|Three Fates Gaming|2003|divus ex|http://index.rpg.net/display-entry.phtml?mainid=5259
697|Chi-Chian: The Roleplaying Game|Aetherco / Dreamcatcher|2003|chi-chian|http://index.rpg.net/display-entry.phtml?mainid=345
765|Promised Sands|BBRACK Productions|2003|promised sands|http://index.rpg.net/display-entry.phtml?mainid=8675
778|The Marvel Universe Roleplaying Game|Marvel|2003|marvel universe|http://index.rpg.net/display-entry.phtml?mainid=1153
787|Nebuleon SFRPG|HinterWelt Enterprises|2003|nebuleon sfrpg|http://index.rpg.net/display-entry.phtml?mainid=90
790|It's a Dog's Life|Beyond Belief Games|2003|it's a dog's life|http://index.rpg.net/display-entry.phtml?mainid=4477
792|Ravenloft Dungeon Master's Guide|Sword & Sorcery|2003|ravenloft|http://index.rpg.net/display-entry.phtml?mainid=1637
840|Dark Inheritance|Excelsior Games|2003|dark inheritance|http://index.rpg.net/display-entry.phtml?mainid=15331
860|Silhouette CORE Rules|Dream Pod 9|2003|silhouette|http://index.rpg.net/display-entry.phtml?mainid=222
875|Haven: City of Violence|LPJ Design|2003|haven: city of violence|http://index.rpg.net/display-entry.phtml?mainid=6073
876|Munchkin|Steve Jackson Games|2003|munchkin|http://index.rpg.net/display-entry.phtml?mainid=3409
906|Shriek, the Game of Teen Horror|Deep7|2003|shriek|http://index.rpg.net/display-entry.phtml?mainid=5909
955|Gunslingers: Wild West Action!|Gold Rush Games|2003|gunslingers|http://index.rpg.net/display-entry.phtml?mainid=1442
988|Rifts Chaos Earth|Palladium Books|2003|rifts chaos earth|http://index.rpg.net/display-entry.phtml?mainid=8395
1013|SOAP|Wingnut Games|2003|soap|http://index.rpg.net/display-entry.phtml?mainid=1223
1093|FBI|Holistic Design|2003|fbi|http://index.rpg.net/display-entry.phtml?mainid=3933
1102|Vigilance: Absolute Power|Mystic Eye Games|2003|vigilance|http://index.rpg.net/display-entry.phtml?mainid=11954
1140|Tooth & Claw|Memento Mori Theatricks|2003|tooth & claw|http://index.rpg.net/display-entry.phtml?mainid=4480
1155|Armageddon: 2089|Mongoose Publishing|2003|armageddon: 2089|http://index.rpg.net/display-entry.phtml?mainid=3867
1243|Luftwaffe 1946 Roleplaying Game|Battlefield Press|2003|luftwaffe 1946|http://index.rpg.net/display-entry.phtml?mainid=10371
1300|Totem|Zozer Game Designs|2003|totem|http://index.rpg.net/display-entry.phtml?mainid=12136
1328|The Fringe|Bayn.org|2003|fringe|http://index.rpg.net/display-entry.phtml?mainid=5577
1371|Universe Primer|Tower Ravens|2003|universe primer|http://index.rpg.net/display-entry.phtml?mainid=4553
1382|Caeron 3000|Magique Productions|2003|caeron 3000|http://index.rpg.net/display-entry.phtml?mainid=10226
1395|Quest for Power: The Battle for Isaroth|Immortal Day Publishing|2003|isaroth|http://index.rpg.net/display-entry.phtml?mainid=2546
1462|The Ladder|Zozer Game Designs|2003|the ladder|http://index.rpg.net/display-entry.phtml?mainid=12135
1761|Horror Rules: The Simply Horrible Roleplaying Game|Crucifiction Games|2003|horror rules: the simply horrible roleplaying game|http://index.rpg.net/display-entry.phtml?mainid=15578
1785|Pirates: Ye Olde|New Dimension Games|2003|pirates|http://index.rpg.net/display-entry.phtml?mainid=15677
1983|The Valedictorian's Death|Half Meme Press|2003|valedictorian's death|http://index.rpg.net/display-entry.phtml?mainid=7251
1986|Pax Draconis RPG|Technicraft|2003|pax draconis rpg|http://index.rpg.net/display-entry.phtml?mainid=2550
1998|Full Clip: Hong Kong Action|Deep7|2003|full clip: hong kong action|http://index.rpg.net/display-entry.phtml?mainid=10231
2005|CORE Command|Dream Pod 9|2003|core command|http://index.rpg.net/display-entry.phtml?mainid=13307
2016|Mutant Space Cowboys|1KM1KT|2003|mutant space cowboys|http://index.rpg.net/display-entry.phtml?mainid=5518
2018|OGL Horror|Mongoose Publishing|2003|ogl horror|http://index.rpg.net/display-entry.phtml?mainid=1023
2065|Somalia|Holistic Design|2003|somalia|http://index.rpg.net/display-entry.phtml?mainid=3931
2067|Colombia|Holistic Design|2003|colombia|http://index.rpg.net/display-entry.phtml?mainid=3932
2087|The Dark Eye: Basic Rules|FanPro|2003|dark eye|http://index.rpg.net/display-entry.phtml?mainid=8841
5|Call of Cthulhu|Chaosium|2004|call of cthulhu|http://index.rpg.net/display-entry.phtml?mainid=20
14|Paranoia|Mongoose Publishing|2004|paranoia|http://index.rpg.net/display-entry.phtml?mainid=755
15|Prime Time Adventures|Dogeared Designs|2004|prime time adventures|http://index.rpg.net/display-entry.phtml?mainid=778
81|The World of Darkness|White Wolf Publishing|2004|world of darkness|http://index.rpg.net/display-entry.phtml?mainid=300
120|HARP: High Adventure Role Playing|I.C.E.|2004|harp: high adventure role playing|http://index.rpg.net/display-entry.phtml?mainid=1486
165|Castles & Crusades|Troll Lord Games|2004|castles & crusades|http://index.rpg.net/display-entry.phtml?mainid=5071
206|vs. Monsters|Ronin Arts|2004|vs. monsters|http://index.rpg.net/display-entry.phtml?mainid=5237
215|The Secret of Zir'An|Paragon Games|2004|secret of zir'an|http://index.rpg.net/display-entry.phtml?mainid=1756
216|Eldritch Ass Kicking|Key20|2004|eldritch ass kicking|http://index.rpg.net/display-entry.phtml?mainid=9098
225|The Authority: Role-Playing Game and Resource Book|Guardians of Order|2004|authority|http://index.rpg.net/display-entry.phtml?mainid=347
232|Barbarians of Lemuria|Beyond Belief Games|2004|barbarians of lemuria|http://index.rpg.net/display-entry.phtml?mainid=4481
251|Ex Machina|Guardians of Order|2004|ex machina|http://index.rpg.net/display-entry.phtml?mainid=950
265|Dead Inside|Atomic Sock Monkey Press|2004|dead inside|http://index.rpg.net/display-entry.phtml?mainid=5203
274|City State of the Invincible Overlord|Necromancer Games|2004|city state of the invincible overlord|http://index.rpg.net/display-entry.phtml?mainid=19197
285|Monkey, Ninja, Pirate, Robot: the Roleplaying Game|Atomic Sock Monkey Press|2004|monkey, ninja, pirate, robote|http://index.rpg.net/display-entry.phtml?mainid=10100
300|Roma Imperious|HinterWelt Enterprises|2004|roma imperious|http://index.rpg.net/display-entry.phtml?mainid=84
307|Conspiracy of Shadows|Bob Goat Press|2004|conspiracy of shadows|http://index.rpg.net/display-entry.phtml?mainid=3459
311|Lone Wolf The Roleplaying Game|Mongoose Publishing|2004|lone wolf|http://index.rpg.net/display-entry.phtml?mainid=3052
323|Fireborn|Fantasy Flight Games|2004|fireborn|http://index.rpg.net/display-entry.phtml?mainid=366
337|DragonMech|Sword & Sorcery|2004|dragonmech|http://index.rpg.net/display-entry.phtml?mainid=1886
380|Prose Descriptive Qualities System|Atomic Sock Monkey Press|2004|prose descriptive qualities|http://index.rpg.net/display-entry.phtml?mainid=5837
445|Wyrd Is Bond|Key 20 Publishing|2004|wyrd is bond|http://index.rpg.net/display-entry.phtml?mainid=2124
471|Xcrawl|Pandahead Productions|2004|xcrawl|http://index.rpg.net/display-entry.phtml?mainid=776
485|Albedo|Sanguine Productions|2004|albedo|http://index.rpg.net/display-entry.phtml?mainid=1618
527|Lashings of Ginger Beer|Beyond Belief Games|2004|lashings of ginger beer|http://index.rpg.net/display-entry.phtml?mainid=4476
568|HardNova 2|Politically Incorrect Games|2004|hardnova 2|http://index.rpg.net/display-entry.phtml?mainid=1012
613|Blood Games|Flying Mice|2004|blood games|http://index.rpg.net/display-entry.phtml?mainid=3492
619|the farm|Memento Mori Theatricks|2004|the farm|http://index.rpg.net/display-entry.phtml?mainid=7111
639|Control: The Game of Absolute Corruption|Skirmisher Publishing|2004|control: the game of absolute corruption|http://index.rpg.net/display-entry.phtml?mainid=14981
657|Mechamorphosis|Fantasy Flight Games|2004|mechamorphosis|http://index.rpg.net/display-entry.phtml?mainid=8522
704|Enemy Gods: A Little Game of Big Powers|Wicked Dead Brewing Company|2004|enemy gods: a little game of big powers|http://index.rpg.net/display-entry.phtml?mainid=194
706|Fastlane|Twisted Confessions|2004|fastlane|http://index.rpg.net/display-entry.phtml?mainid=7110
708|BASH! Fantasy Edition|Basic Action Games|2004|bash!|http://index.rpg.net/display-entry.phtml?mainid=4443
800|Everstone: Blood Legacy|Guardians of Order / Magnum Opus|2004|everstone|http://index.rpg.net/display-entry.phtml?mainid=3668
826|Zenobia|Zozer Game Designs|2004|zenobia|http://index.rpg.net/display-entry.phtml?mainid=12133
851|Tibet|Vajra Enterprises|2004|tibet|http://index.rpg.net/display-entry.phtml?mainid=318
861|Active Exploits Diceless Roleplaying|Politically Incorrect Games|2004|active exploits|http://index.rpg.net/display-entry.phtml?mainid=1010
911|Splicers|Palladium Books|2004|splicers|http://index.rpg.net/display-entry.phtml?mainid=251
932|Urban Faerie|Postmortem Studios|2004|urban faerie|http://index.rpg.net/display-entry.phtml?mainid=16940
940|Now Playing|Carnivore Games|2004|now playing|http://index.rpg.net/display-entry.phtml?mainid=35
941|Meddling Kids|Pandahead Productions|2004|meddling kids|http://index.rpg.net/display-entry.phtml?mainid=4471
951|Code of Unaris|Goldleaf Games|2004|code of unaris|http://index.rpg.net/display-entry.phtml?mainid=4602
980|The Book of Jalan|Flying Mice|2004|book of jalan|http://index.rpg.net/display-entry.phtml?mainid=3180
1014|Formless Collaborative Roleplaying|Politically Incorrect Games|2004|formless collaborative roleplaying|http://index.rpg.net/display-entry.phtml?mainid=4033
1046|Pie Shop|Corone Design|2004|pie shop|http://index.rpg.net/display-entry.phtml?mainid=10389
1062|unChosen|Silver Branch Games|2004|unchosen|http://index.rpg.net/display-entry.phtml?mainid=10071
1066|Crimson Empire|Spartans Unleashed|2004|crimson empire|http://index.rpg.net/display-entry.phtml?mainid=14538
1099|Aberrant d20|Arthaus / White Wolf|2004|aberrant d20|http://index.rpg.net/display-entry.phtml?mainid=15162
1111|Live System|Postmortem Studios|2004|live system|http://index.rpg.net/display-entry.phtml?mainid=16951
1145|The CrossRoads of Eternity RPG|Arcadiam Games|2004|crossroads of eternity|http://index.rpg.net/display-entry.phtml?mainid=7564
1291|Eric Flint's 1632 Resource Guide and Role Playing Game|Battlefield Press|2004|1632|http://index.rpg.net/display-entry.phtml?mainid=10372
1411|Qi: Living Energy|Random Mind Games|2004|qi: living energy|http://index.rpg.net/display-entry.phtml?mainid=9481
1464|The Point of No Return|Mongoose Publishing|2004|point of no return|http://index.rpg.net/display-entry.phtml?mainid=8622
1490|Dark Ages Basic Rules|White Wolf Publishing|2004|dark ages|http://index.rpg.net/display-entry.phtml?mainid=12178
1530|S4: Lost Caverns|Kenzer & Company|2004|s4: lost caverns|http://index.rpg.net/display-entry.phtml?mainid=10410
1599|Budget Battlefield|The CaBil|2004|budget battlefield|http://index.rpg.net/display-entry.phtml?mainid=9849
1625|POW!|aethereal FORGE|2004|pow|http://index.rpg.net/display-entry.phtml?mainid=12257
1859|The Night Before Christmas|Freeform Games|2004|night before christmas|http://index.rpg.net/display-entry.phtml?mainid=17461
1958|Battlestations|Gorilla Games|2004|battlestations|http://index.rpg.net/display-entry.phtml?mainid=19471
2060|Wildside Gaming System|Wildside Press|2004|wildside|http://index.rpg.net/display-entry.phtml?mainid=6072
12|Warhammer Fantasy Roleplay|Black Industries|2005|warhammer|http://index.rpg.net/display-entry.phtml?mainid=76
13|Mutants & Masterminds|Green Ronin Publishing|2005|mutants & masterminds|http://index.rpg.net/display-entry.phtml?mainid=145
26|Legend of the Five Rings|AEG|2005|legend of the five rings|http://index.rpg.net/display-entry.phtml?mainid=106
45|Artesia: Adventures in the Known World|Archaia Studios Press|2005|artesia|http://index.rpg.net/display-entry.phtml?mainid=138
48|Dogs in the Vineyard|Lumpley Games|2005|dogs in the vineyard|http://index.rpg.net/display-entry.phtml?mainid=103
50|Polaris|Tao Games|2005|polaris|http://index.rpg.net/display-entry.phtml?mainid=3010
68|Weapons of the Gods|Eos Press|2005|weapons of the gods|http://index.rpg.net/display-entry.phtml?mainid=77
77|The Burning Wheel: Fantasy Roleplaying System|Luke Crane|2005|burning wheel|http://index.rpg.net/display-entry.phtml?mainid=41
94|Truth & Justice|Atomic Sock Monkey Press|2005|truth & justice|http://index.rpg.net/display-entry.phtml?mainid=2061
96|The Shadow of Yesterday|Anvilwerks|2005|shadow of yesterday|http://index.rpg.net/display-entry.phtml?mainid=4084
102|The Seventh Seal|Morrigan Press|2005|seventh seal|http://index.rpg.net/display-entry.phtml?mainid=3456
103|A Game Of Thrones|Guardians of Order|2005|game of thrones|http://index.rpg.net/display-entry.phtml?mainid=1021
109|Risus|Cumberland Games & Diversions|2005|risus|http://index.rpg.net/display-entry.phtml?mainid=522
124|Fudge|Grey Ghost Press|2005|fudge|http://index.rpg.net/display-entry.phtml?mainid=3146
146|Spycraft|AEG|2005|spycraft|http://index.rpg.net/display-entry.phtml?mainid=193
171|Iron Heroes|Sword & Sorcery / Malhavoc Press|2005|iron heroes|http://index.rpg.net/display-entry.phtml?mainid=86
189|Blue Rose|Green Ronin Publishing|2005|blue rose|http://index.rpg.net/display-entry.phtml?mainid=216
217|Army of Darkness|Eden Studios|2005|army of darkness|http://index.rpg.net/display-entry.phtml?mainid=3296
246|Deathstalkers Fantasy-Horror Role-Play|Cutter's Guild Games|2005|deathstalkers|http://index.rpg.net/display-entry.phtml?mainid=9984
252|Dead of Night|SteamPower Publishing|2005|dead of night|http://index.rpg.net/display-entry.phtml?mainid=5308
303|Atlantis: The Second Age|Morrigan Press|2005|atlantis|http://index.rpg.net/display-entry.phtml?mainid=3491
314|Tomorrow Knights|ZMan Games|2005|tomorrow knights|http://index.rpg.net/display-entry.phtml?mainid=4556
327|Capes|Muse of Fire Games|2005|capes|http://index.rpg.net/display-entry.phtml?mainid=6615
358|The Deryni Adventure Game|Grey Ghost Press|2005|deryni|http://index.rpg.net/display-entry.phtml?mainid=7293
364|Dreaming Cities|Guardians of Order|2005|dreaming cities|http://index.rpg.net/display-entry.phtml?mainid=215
377|Serenity Role Playing Game|Margaret Weis Productions|2005|serenity|http://index.rpg.net/display-entry.phtml?mainid=902
395|Iron Gauntlets|Politically Incorrect Games|2005|iron gauntlets|http://index.rpg.net/display-entry.phtml?mainid=162
403|Kayfabe|Errant Knight Games|2005|kayfabe|http://index.rpg.net/display-entry.phtml?mainid=19575
450|Godsend Agenda|Khepera Publishing|2005|godsend agenda|http://index.rpg.net/display-entry.phtml?mainid=5403
481|Seven Leagues|Malcontent Games|2005|seven leagues|http://index.rpg.net/display-entry.phtml?mainid=9291
